miner_with_layout
-------------------------------------
Wed Jul  2 10:37:18 2014    statsfile

         68392167 function calls (67604268 primitive calls) in 74.971 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    41199    0.376    0.000    0.609    0.000 /Library/Python/2.7/site-packages/pdfminer/utils.py:307(find)
   694107    1.673    0.000    3.259    0.000 /Library/Python/2.7/site-packages/pdfminer/layout.py:126(voverlap)
        1    0.001    0.001   74.971   74.971 /Users/markagorenstein/workspace/OSP/opensyllabus/extractor_research/extractors/miner.py:29(extract)
   319328    0.186    0.000    0.720    0.000 /Library/Python/2.7/site-packages/pdfminer/pdffont.py:483(decode)
   703524    3.039    0.000   16.092    0.000 /Library/Python/2.7/site-packages/pdfminer/converter.py:93(render_char)
    81834    0.021    0.000    0.021    0.000 {getattr}
      484    0.001    0.000    0.001    0.000 /Library/Python/2.7/site-packages/pdfminer/pdftypes.py:176(__init__)
   723854    0.337    0.000    0.585    0.000 /Library/Python/2.7/site-packages/pdfminer/utils.py:266(_getrange)
     9427    0.012    0.000    0.129    0.000 /Library/Python/2.7/site-packages/pdfminer/layout.py:324(__init__)
   219248    0.387    0.000    0.761    0.000 /Library/Python/2.7/site-packages/pdfminer/pdfinterp.py:273(flush)
       76    0.000    0.000    0.000    0.000 /Library/Python/2.7/site-packages/pdfminer/psparser.py:435(_parse_string_1)
        1    0.000    0.000    0.000    0.000 /Library/Python/2.7/site-packages/pdfminer/converter.py:146(__init__)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/encodings/utf_16_be.py:15(decode)
     5078    0.126    0.000    0.286    0.000 /Library/Python/2.7/site-packages/pdfminer/utils.py:297(remove)
      492    0.001    0.000    0.001    0.000 /Library/Python/2.7/site-packages/pdfminer/pdfdocument.py:137(get_pos)
      236    0.001    0.000    0.031    0.000 /Library/Python/2.7/site-packages/pdfminer/psparser.py:494(__init__)
   703524    0.261    0.000    0.339    0.000 /Library/Python/2.7/site-packages/pdfminer/layout.py:644(<lambda>)
        2    0.000    0.000    0.000    0.000 /Library/Python/2.7/site-packages/pdfminer/pdfdocument.py:71(__init__)
      165    0.000    0.000    0.000    0.000 /Library/Python/2.7/site-packages/pdfminer/converter.py:184(paint_path)
      427    0.001    0.000    0.002    0.000 /Library/Python/2.7/site-packages/pdfminer/pdfinterp.py:483(do_re)
        2    0.000    0.000    0.000    0.000 {method 'close' of 'file' objects}
        1    0.000    0.000    0.000    0.000 /Library/Python/2.7/site-packages/pdfminer/cmapdb.py:91(__init__)
  1985384    2.098    0.000    2.098    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
      776    0.002    0.000    0.003    0.000 /Library/Python/2.7/site-packages/pdfminer/psparser.py:474(<lambda>)
   763331    3.186    0.000    6.234    0.000 /Library/Python/2.7/site-packages/pdfminer/layout.py:300(add)
   106289    0.206    0.000    0.206    0.000 /Library/Python/2.7/site-packages/pdfminer/utils.py:119(drange)
     3007    0.024    0.000    0.025    0.000 {method 'sort' of 'list' objects}
      236    0.000    0.000    0.004    0.000 /Library/Python/2.7/site-packages/pdfminer/pdftypes.py:163(stream_value)
        1    0.000    0.000   74.971   74.971 <string>:1(<module>)
    28515    0.021    0.000    0.028    0.000 /Library/Python/2.7/site-packages/pdfminer/layout.py:271(__iter__)
   245502    0.109    0.000    0.109    0.000 {method 'replace' of 'str' objects}
      234    0.006    0.000   28.961    0.124 /Library/Python/2.7/site-packages/pdfminer/converter.py:31(end_page)
 2539/227    0.009    0.000    0.595    0.003 /Library/Python/2.7/site-packages/pdfminer/layout.py:447(analyze)
      776    0.000    0.000    0.000    0.000 {method 'group' of '_sre.SRE_Match' objects}
      234    0.901    0.004   42.530    0.182 /Library/Python/2.7/site-packages/pdfminer/pdfinterp.py:848(execute)
    23949    0.113    0.000    0.318    0.000 /Library/Python/2.7/site-packages/pdfminer/pdfparser.py:60(do_keyword)
   703524    0.193    0.000    0.193    0.000 /Library/Python/2.7/site-packages/pdfminer/layout.py:254(get_text)
    21393    0.049    0.000    0.223    0.000 /Library/Python/2.7/site-packages/pdfminer/layout.py:311(__init__)
    21393    0.035    0.000    0.173    0.000 /Library/Python/2.7/site-packages/pdfminer/layout.py:296(__init__)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/encodings/utf_16_be.py:22(IncrementalDecoder)
        1    0.000    0.000    0.000    0.000 /Library/Python/2.7/site-packages/pdfminer/pdfparser.py:48(set_document)
        8    0.000    0.000    0.001    0.000 /Library/Python/2.7/site-packages/pdfminer/psparser.py:249(revreadlines)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/encodings/utf_16_be.py:28(StreamReader)
    64156    0.055    0.000    0.066    0.000 /Library/Python/2.7/site-packages/pdfminer/utils.py:87(uniq)
